segment,day_start_approx,return_start_percent_approx,day_end_approx,return_end_percent_approx,marker_bridge
317,-13.879781,0.044964,-13.770492,0.134892,False
318,-13.879781,0.044964,-13.770492,0.017986,False
319,-13.879781,-0.169643,-13.770492,-0.178571,False
320,-13.879781,-0.410714,-13.770492,-0.410714,False
321,-13.879781,-0.482143,-13.770492,-0.482143,False
322,-13.879781,-0.785714,-13.770492,-0.776786,False
323,-13.879781,-0.928571,-13.770492,-0.946429,False
324,-13.770492,0.44964,-13.661202,0.44964,False
325,-13.770492,0.134892,-13.661202,0.143885,False
326,-13.770492,0.017986,-13.661202,0.017986,False
327,-13.770492,-0.178571,-13.661202,-0.178571,False
328,-13.770492,-0.410714,-13.661202,-0.455357,False
329,-13.770492,-0.482143,-13.661202,-0.455357,False
330,-13.770492,-0.776786,-13.661202,-0.776786,False
331,-13.770492,-0.946429,-13.661202,-0.964286,False
332,-13.661202,0.44964,-13.551913,0.44964,False
333,-13.661202,0.143885,-13.551913,0.143885,False
334,-13.661202,0.017986,-13.551913,0.0,False
335,-13.661202,-0.178571,-13.551913,-0.178571,False
336,-13.661202,-0.455357,-13.551913,-0.455357,False
337,-13.661202,-0.776786,-13.551913,-0.758929,False
338,-13.661202,-0.964286,-13.551913,-0.964286,False
339,-13.551913,0.44964,-13.442623,0.44964,False
340,-13.551913,0.143885,-13.442623,0.152878,False
341,-13.551913,0.0,-13.442623,0.0,False
342,-13.551913,-0.178571,-13.442623,-0.1875,False
343,-13.551913,-0.455357,-13.442623,-0.464286,False
344,-13.551913,-0.758929,-13.442623,-0.75,False
345,-13.551913,-0.964286,-13.442623,-0.982143,False
346,-13.442623,0.44964,-13.333333,0.440647,False
347,-13.442623,0.152878,-13.333333,0.152878,False
348,-13.442623,0.0,-13.333333,0.0,False
349,-13.442623,-0.1875,-13.333333,-0.1875,False
350,-13.442623,-0.464286,-13.333333,-0.464286,False
351,-13.442623,-0.75,-13.333333,-0.741071,False
352,-13.442623,-0.982143,-13.333333,-1.0,False
353,-13.333333,0.440647,-13.224044,0.44964,False
